id,Month,Avg,Max,Min
c54acf38-3029-496b-8c7a-8343ad82785c,1,"3,7","7,8","0,4"
c54acf38-3029-496b-8c7a-8343ad82785c,2,"7,1","12,0","2,8"
c54acf38-3029-496b-8c7a-8343ad82785c,3,"10,5","15,5","5,5"
c54acf38-3029-496b-8c7a-8343ad82785c,4,"13,8","18,9","8,7"
c54acf38-3029-496b-8c7a-8343ad82785c,5,"17,9","22,5","13,4"
c54acf38-3029-496b-8c7a-8343ad82785c,6,"23,5","28,5","18,1"
c54acf38-3029-496b-8c7a-8343ad82785c,7,"25,8","30,8","20,5"
c54acf38-3029-496b-8c7a-8343ad82785c,8,"25,2","30,4","20,2"
c54acf38-3029-496b-8c7a-8343ad82785c,9,"20,8","26,0","16,1"
c54acf38-3029-496b-8c7a-8343ad82785c,10,"15,2","19,6","11,5"
c54acf38-3029-496b-8c7a-8343ad82785c,11,"8,8","12,5","5,6"
c54acf38-3029-496b-8c7a-8343ad82785c,12,"4,7","8,2","1,9"
0bd12654-ed64-424e-a044-7bc574bcf078,1,"28,0","30,8","25,8"
0bd12654-ed64-424e-a044-7bc574bcf078,2,"28,0","31,1","25,6"
0bd12654-ed64-424e-a044-7bc574bcf078,3,"26,9","31,0","22,8"
0bd12654-ed64-424e-a044-7bc574bcf078,4,"28,0","31,7","26,0"
0bd12654-ed64-424e-a044-7bc574bcf078,5,"27,4","31,0","23,1"
0bd12654-ed64-424e-a044-7bc574bcf078,6,"26,2","29,7","23,7"
0bd12654-ed64-424e-a044-7bc574bcf078,7,"26,1","29,6","23,6"
0bd12654-ed64-424e-a044-7bc574bcf078,8,"25,5","29,1","23,7"
0bd12654-ed64-424e-a044-7bc574bcf078,9,"26,3","30,4","24,5"
0bd12654-ed64-424e-a044-7bc574bcf078,10,"26,0","30,5","19,0"
0bd12654-ed64-424e-a044-7bc574bcf078,11,"27,1","31,0","24,8"
0bd12654-ed64-424e-a044-7bc574bcf078,12,"28,2","31,9","26,0"
73036cda-9134-46fc-a2c6-807782d59dfb,1,"-2,5","0,4","-5,5"
73036cda-9134-46fc-a2c6-807782d59dfb,2,"-1,8","0,8","-7,2"
73036cda-9134-46fc-a2c6-807782d59dfb,3,"0,2","3,5","-5,0"
73036cda-9134-46fc-a2c6-807782d59dfb,4,"4,6","9,1","-0,6"
73036cda-9134-46fc-a2c6-807782d59dfb,5,"9,0","14,4","3,4"
73036cda-9134-46fc-a2c6-807782d59dfb,6,"14,1","18,8","9,1"
73036cda-9134-46fc-a2c6-807782d59dfb,7,"18,2","23,2","13,0"
73036cda-9134-46fc-a2c6-807782d59dfb,8,"17,8","23,3","12,8"
73036cda-9134-46fc-a2c6-807782d59dfb,9,"14,5","19,3","9,9"
73036cda-9134-46fc-a2c6-807782d59dfb,10,"7,6","11,6","4,4"
73036cda-9134-46fc-a2c6-807782d59dfb,11,"1,8","5,1","-1,6"
73036cda-9134-46fc-a2c6-807782d59dfb,12,"-1,8","0,9","-2,5"
3872c9c0-6b6e-49e1-9743-f46bfe591b86,1,"15,5","22,8","8,7"
3872c9c0-6b6e-49e1-9743-f46bfe591b86,2,"17,2","25,6","9,5"
3872c9c0-6b6e-49e1-9743-f46bfe591b86,3,"20,3","29,3","12,2"
3872c9c0-6b6e-49e1-9743-f46bfe591b86,4,"23,1","31,8","13,1"
3872c9c0-6b6e-49e1-9743-f46bfe591b86,5,"23,3","31,6","15,1"
3872c9c0-6b6e-49e1-9743-f46bfe591b86,6,"22,2","30,2","15,3"
3872c9c0-6b6e-49e1-9743-f46bfe591b86,7,"20,7","28,2","14,4"
3872c9c0-6b6e-49e1-9743-f46bfe591b86,8,"20,6","27,9","14,4"
3872c9c0-6b6e-49e1-9743-f46bfe591b86,9,"19,9","27,2","13,9"
3872c9c0-6b6e-49e1-9743-f46bfe591b86,10,"19,0","26,2","12,6"
3872c9c0-6b6e-49e1-9743-f46bfe591b86,11,"17,7","25,5","10,7"
3872c9c0-6b6e-49e1-9743-f46bfe591b86,12,"14,9","22,1","9,2"
e1ebc1b6-8798-422d-847a-22016faff3fd,1,"28,1","32,5","25,5"
e1ebc1b6-8798-422d-847a-22016faff3fd,2,"27,8","32,4","25,5"
e1ebc1b6-8798-422d-847a-22016faff3fd,3,"28,3","32,8","25,8"
e1ebc1b6-8798-422d-847a-22016faff3fd,4,"29,0","33,2","26,2"
e1ebc1b6-8798-422d-847a-22016faff3fd,5,"29,3","33,7","26,2"
